Gene,WT_1,WT_2,WT_3,hnox_1,hnox_2,hnox_3
Pden_0001,15.25766136,15.46699245,15.10608433,15.16370928,15.35020022,15.33097222
rho,19.32395875,19.18570822,19.43906911,18.63804078,18.89843802,18.54654454
mnmE,17.31086969,17.45355032,17.54807021,17.74592278,17.84416783,17.70812215
mnmG,20.29284819,20.37369065,20.44883037,20.30108667,20.52866657,20.16237409
rsmG,19.39080664,19.49301931,19.47249199,19.44437423,19.41335425,19.53937146
Pden_0006,20.68461863,20.77867025,20.77764322,20.61613496,20.76916107,20.44893977
Pden_0007,21.90745191,21.92347862,21.87847567,21.89461811,21.93375724,21.72729365
grpE,22.20392004,21.93291468,22.09838953,21.99940794,21.97088547,22.09796044
hrcA,15.11771412,15.17413369,15.02824247,14.93955708,14.83538679,14.48094549
rph,18.72586113,18.90222858,18.94408797,18.25294277,18.27364369,18.65168679
Pden_0011,22.3491869,22.44629323,22.22587666,22.23908157,22.34191996,22.3017361
Pden_0012,16.81122472,16.89493174,16.60825131,18.45763397,17.39238717,19.12183513
Pden_0013,17.65958202,17.88442035,17.74025021,17.79202733,17.90770308,17.89246044
gfa,17.96029877,17.94871618,18.0372237,17.69725994,17.47423045,17.64853907
Pden_0016,22.31365764,22.37981274,22.41311558,22.32090234,22.26582172,22.19335492
clpP,20.69632542,20.48747122,20.63763229,20.043074,20.33168603,19.87964318
Pden_0018,18.85843369,18.81535751,18.77335665,18.85481403,18.93784538,18.99823206
fghA,18.14908528,18.09637492,18.26251332,17.98767007,18.24711412,18.33728697
Pden_0020,17.10689613,16.66185849,16.61153909,16.14506667,15.91676393,15.69375421
Pden_0022,17.75570958,17.96535056,17.86392571,17.8288015,17.82472014,17.34015927
Pden_0024,16.59548582,16.4791073,16.32733966,16.35424771,16.17496953,16.37458699
Pden_0026,13.42836001,13.24042499,13.41167465,12.91568412,12.39927776,12.9078679
Pden_0027,18.71205578,18.56195921,18.45987802,18.1345511,17.95386849,18.16661922
Pden_0028,17.02992998,17.1933412,17.23624682,15.99483492,16.36207207,16.37628482
Pden_0031,15.19383221,15.25962379,15.07648578,14.83387035,14.69134615,14.68027711
mobA,15.45842752,15.40671504,15.59336728,15.54391932,15.62355153,15.41769156
Pden_0035,19.18736988,19.34080937,19.25250263,19.23526598,19.1850355,19.36427101
Pden_0036,21.95658176,22.00816477,21.93049861,21.9480323,22.08319097,22.15027439
Pden_0037,14.77095163,15.09951991,15.00891448,15.07155893,15.19697822,14.61372964
Pden_0038,19.08104744,18.88659348,18.99646724,19.1567159,18.95750839,19.20959213
thiG,19.14428612,19.16591876,19.17969586,19.28843811,19.31846249,19.42495232
Pden_0040,18.52113719,18.45757416,18.4872894,18.50551412,18.50162714,19.00535618
Pden_0041,16.40122969,16.48947139,16.56253416,16.30945125,16.56800667,16.32173953
Pden_0042,19.72688455,19.81635549,19.69558311,19.7443906,19.78346739,19.80872414
Pden_0043,19.76237022,19.86027676,19.79454759,19.85644997,19.76474429,19.72680299
aroQ,11.39642789,10.80051315,11.13040647,12.07056946,11.88099844,11.82557993
Pden_0046,18.02393069,18.16928691,18.126507,18.13732329,18.20925307,18.11590167
Pden_0052,19.90661726,19.98396899,19.95571882,19.7179414,19.65263237,19.72151919
Pden_0053,14.77723646,14.77793407,14.87568865,14.72069213,14.86851555,14.69747958
Pden_0054,15.14344694,15.25943775,15.36789735,15.04610713,14.86013696,15.07314576
Pden_0056,15.32060225,15.63119903,15.41673164,15.17350306,15.35660239,15.07803834
Pden_0058,13.77795698,14.5657484,14.1122537,14.28224254,14.2211728,14.02577206
Pden_0059,19.58287004,19.53002433,19.53957775,19.73598013,19.73676611,19.79214426
pyrF,23.60554271,23.48849687,23.49922194,23.6954502,23.67412198,23.77599887
clpB,23.2699452,23.22310472,23.31235987,23.45588057,23.59128881,23.44517851
msrP,18.18096032,18.32367013,18.36107736,18.48284411,18.65128722,18.67185745
Pden_0069,14.39530659,14.45845784,14.67716621,14.85711209,14.77025956,14.63206218
Pden_0073,18.4478514,18.34219119,18.35613772,18.10149913,18.43333634,17.8968356
Pden_0074,18.47928633,18.47273896,18.38984905,18.30946821,18.45849011,18.49907753
Pden_0079,14.9342199,15.21841185,15.01174729,15.01301282,15.20500722,15.29437852
Pden_0082,17.03628978,16.97415728,16.82545678,16.96666194,17.11861426,17.06943431
Pden_0087,21.06305401,21.04148572,21.04629175,21.1031022,21.04091965,21.16163272
Pden_0088,22.07306476,22.01275949,21.97129336,21.9328441,21.95956283,22.02262
Pden_0089,21.41968767,21.3354708,21.47888897,20.79431654,20.97584999,21.08177841
Pden_0090,25.10479224,25.15493114,25.15324737,25.34614634,25.23764983,25.27320286
Pden_0093,25.95238063,25.80346645,25.9344546,25.41139881,25.78338435,25.27808898
Pden_0104,20.17251714,20.1644553,20.0722745,20.22055411,20.17616982,20.31615673
Pden_0112,18.25644505,18.14078499,18.68665635,18.91835554,18.99386457,18.42481375
Pden_0113,17.9845306,18.04252171,17.948499,18.00979969,18.04091671,17.84399489
Pden_0114,17.85694141,17.76093287,17.64256033,17.82809169,17.98142081,17.73069494
Pden_0115,17.04750477,17.25920699,17.12708296,17.50148593,17.38192845,17.45333777
Pden_0116,14.58978031,14.57091506,14.58834629,14.17981002,14.25361309,14.35799811
Pden_0118,14.8516174,14.73501165,14.81742323,14.9455906,14.92467741,15.00574273
Pden_0122,15.32429547,15.10313221,15.29859645,15.09007123,15.55019095,15.19188215
Pden_3367,17.06145228,16.78147809,16.75443528,17.11000452,16.95092737,17.3235553
Pden_0130,14.67055004,15.00941982,15.08244498,14.83264412,14.94186801,15.5004482
Pden_0140,18.3913163,18.24434199,18.41764389,18.34938336,18.19169846,18.40548121
Pden_0141,13.50040807,13.23366765,12.9951508,13.41097524,13.34373516,13.13217881
Pden_0144,13.26941716,13.63776398,13.49839011,13.3336956,13.74819209,13.89050438
Pden_0145,18.99477244,19.00162147,19.03409744,18.79719663,18.82234655,18.90310413
Pden_0164,14.98057316,15.0840134,15.33590576,15.30154125,14.97136866,14.99633899
Pden_0167,17.32199562,17.36700653,17.33782581,16.90808741,16.95378339,16.98090559
Pden_0168,15.26246436,15.52110132,15.4732099,14.7333331,14.87834971,15.1613682
Pden_0169,18.02975156,18.0414942,18.01919409,18.30424609,18.29581648,18.36242402
Pden_0171,16.72037436,16.65041115,16.20030793,15.95277888,16.11103618,16.17036939
Pden_0172,16.23526453,16.20892581,16.44117187,15.75119929,15.83265647,15.65320642
Pden_0173,16.72457269,16.68835913,16.89350297,15.96395773,16.03917118,16.34754001
Pden_0174,11.09639371,11.45774079,11.39603064,11.44966106,11.18007563,10.89459731
Pden_0175,14.4157188,14.6423979,14.68923686,13.82633927,13.37873833,13.62841009
Pden_0180,15.26389865,15.31835089,15.24651305,14.44287329,14.73450129,14.66375203
Pden_0181,12.89047955,13.1810966,13.20226961,12.84268722,12.15322447,12.86917128
Pden_0182,17.4602434,17.53887875,17.52364049,17.41203356,17.4447914,17.52466229
Pden_0187,13.59316344,13.66554947,13.7403243,13.67055761,13.91562799,14.39310842
Pden_0188,17.82417808,18.015731,17.90351575,18.04763914,18.10616536,18.20392803
Pden_0191,21.47378296,21.62851626,21.63913231,21.46429265,21.45499406,21.58438296
Pden_0192,15.70974403,15.65803776,15.63108251,15.20143242,15.05598994,15.16373848
Pden_0193,19.43854,19.36658165,19.29607436,19.15343784,19.12066734,19.31663477
Pden_0194,15.23090149,15.25861888,15.177289,15.14851382,15.19490362,15.35692228
Pden_0195,15.30763494,15.53524734,15.33863141,15.17316773,14.96146955,15.29979698
Pden_0196,18.03953728,17.55761146,17.81513314,17.84713491,17.50083682,17.46671085
Pden_0197,17.59628645,17.6551641,17.65511021,17.76112474,17.80887636,17.91851457
Pden_0198,11.07652827,10.86101205,10.95945384,11.63621642,10.39426446,11.39643974
Pden_0206,20.29252686,20.34384077,20.34045569,20.12902913,20.15820546,20.09676205
Pden_0210,15.28985283,15.77863697,15.49319864,15.61353766,15.44320918,15.81473768
Pden_0211,17.40209802,17.41690329,17.46024578,17.39878956,17.54525518,17.20599371
Pden_0215,14.27874209,14.27847272,14.0813421,14.19633215,14.33086849,14.39478459
Pden_0216,13.43321875,13.5220571,13.53252768,13.35741037,13.52658407,13.31831818
Pden_0217,13.94584877,14.05754767,14.16874876,14.01769636,14.00160752,13.69930178
Pden_0220,16.85308089,16.96448877,16.86677629,16.89944161,16.79923882,17.11775126
Pden_0229,18.0362145,18.05479505,18.0242216,17.74761286,18.18848915,17.84580635
Pden_0230,19.84130589,19.89915848,19.88474462,19.86594733,20.15743143,20.06719086
Pden_0231,12.19917287,11.92631847,12.42701677,12.23066799,12.63705781,12.45914802
Pden_0232,18.07180163,18.08145545,18.01433167,18.1154316,18.25772678,17.84057478
Pden_0236,14.577735,15.12412775,14.58165628,13.78792062,14.29384021,13.82137027
Pden_0239,18.42969308,18.51838856,18.43389438,18.2059988,18.38997429,18.43285494
Pden_0240,18.64272401,18.62071276,18.58172997,18.40569373,18.57288098,18.44278626
Pden_0241,17.73914176,17.66965738,17.62799171,17.4613871,17.56826695,17.63466192
Pden_0242,17.93004502,17.99437042,17.881255,17.69141782,17.74806825,17.55564281
Pden_0243,17.37264928,17.33567157,17.28551057,17.00223009,17.15120312,17.16293831
Pden_0245,16.34665945,16.48473639,16.27477805,16.17267083,16.42751414,16.51380493
Pden_0255,21.67901432,21.69738879,21.62335177,21.48536045,21.72209763,21.65929192
Pden_0258,12.97806591,12.89760269,13.11051152,13.31051985,13.23629018,13.22842788
Pden_0264,18.60229758,18.5770414,18.43671381,18.57428663,18.5800153,18.73197435
Pden_0265,19.87606208,20.05402189,19.83907103,19.99513534,20.04695722,20.04839058
Pden_0277,15.26351398,15.31667098,14.95826618,15.24228483,15.03747786,15.49093399
Pden_0279,15.89077914,15.9401919,15.91852436,16.05988375,16.06945459,16.11188666
Pden_0281,17.81304969,17.83932651,17.7475936,17.44095054,17.5319389,17.64550233
Pden_0287,14.65548963,14.63007515,14.6077803,14.54586802,14.58343583,14.75259135
Pden_0290,19.92649564,19.98720257,20.03787252,20.07221518,20.3014551,20.39130896
Pden_0291,14.11998407,14.4145538,13.87420107,13.97584119,14.10871143,13.9492359
Pden_0295,14.2222076,14.13835902,14.26825368,14.15066014,14.4772358,13.72533104
Pden_0300,21.05221281,21.08044705,21.03320625,21.12397599,20.97470802,21.15750135
Pden_0305,18.84727574,18.88848949,18.81603358,19.02757481,18.85883843,19.00713172
Pden_0307,14.11037108,13.82932175,13.86709857,13.83550367,13.74542568,13.72520993
Pden_0308,23.35536558,23.33515957,23.14005871,23.2474421,23.03882723,23.30658827
Pden_0309,15.33618367,15.11449128,15.07396434,15.41825656,15.38103979,15.61593485
