Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_0444,0,0,0,15861000,15839000,15009000
ppk,0,0,0,2335300,2519400,2585500
Pden_4022,0,0,0,4163000,4203200,3781000
Pden_4104,0,0,0,4776700,5177700,4477700
Pden_0682,0,0,0,2232800,1855500,2098100
Pden_3554,0,0,0,5599600,5780600,6014800
Pden_0720,12513000,13548000,12501000,8554200,9988500,9636400
Pden_1933,18118000,18652000,19540000,22994000,23047000,25150000
Pden_1662,29921000,36186000,29864000,71621000,88955000,80356000
hpa,8317400,7119500,8042200,9807600,11169000,10861000
Pden_0036,30378000,33002000,27686000,40054000,43037000,40926000
Pden_3450,0,0,0,3125200,3032600,4079700
thiG,8199000,7202500,6922400,9475000,9655900,10516000
ddl,6024000,6167800,5658200,4098300,4603400,3716000
Pden_0845,0,0,0,276700,322150,403430
Pden_0011,9922400,13498000,10570000,0,0,0
Pden_4801,7210700,7828800,7685400,10398000,9838100,10950000
Pden_3552,34478000,34669000,37104000,41545000,44719000,41113000
Pden_4178,9397500,7128900,8343700,5449700,3826000,3603200
Pden_4177,8347700,6562600,8353300,4798700,3735700,3606200
argB,9327900,9942000,8705500,12707000,11329000,11139000
Pden_4401,8163600,11438000,11964000,20552000,16529000,19554000
clpB,33784000,32176000,32285000,27417000,29466000,29022000
Pden_4404,9828800,11901000,13050000,17349000,19682000,23317000
Pden_4053,13708000,15321000,14587000,16017000,17372000,18012000
Pden_1377,19340000,19599000,19028000,14339000,14051000,15683000
Pden_3555,6925700,7887000,7947700,8769700,10185000,9209500
bhcC,10197000,7017600,6599900,0,0,0
Pden_2090,2175000,0,0,3479400,3402900,4322700
thiC,8016300,12315000,11651000,15507000,17421000,17063000
Pden_1248,41197000,42167000,40340000,50390000,60326000,60048000
bapA,64131000,68572000,54271000,44943000,49546000,47536000
rplI,251700000,297560000,288860000,310230000,347700000,349910000
Pden_3553,17692000,17742000,19953000,21278000,21605000,22161000
pnp,92196000,99452000,97160000,103920000,105960000,111380000
Pden_0793,101020000,99767000,100610000,112390000,127820000,127060000
Pden_3557,38013000,36349000,35501000,40592000,43105000,41683000
Pden_0093,324400000,419370000,412980000,482230000,578570000,488360000
Pden_2425,11700000,11851000,12820000,16558000,13789000,15562000
